date,market_value
1994-01-07,469.9
1994-01-10,475.27
1994-01-11,474.13
1994-01-12,474.17
1994-01-13,472.47
1994-01-14,474.91
1994-01-17,473.3
1994-01-18,474.25
1994-01-19,474.3
1994-01-20,474.98
1994-01-21,474.72
1994-01-24,471.97
1994-01-25,470.92
1994-01-26,473.2
1994-01-27,477.05
1994-01-28,478.7
1994-01-31,481.61
1994-02-01,479.62
1994-02-02,482.0
1994-02-03,480.71
1994-02-04,469.81
1994-02-07,471.76
1994-02-08,471.05
1994-02-09,472.77
1994-02-10,468.93
1994-02-11,470.18
1994-02-14,470.23
1994-02-15,472.52
1994-02-16,472.79
1994-02-17,470.34
1994-02-18,467.69
1994-02-21,467.69
1994-02-22,471.46
1994-02-23,470.69
1994-02-24,464.26
1994-02-25,466.07
1994-02-28,467.14
1994-03-01,464.44
1994-03-02,464.81
1994-03-03,463.01
1994-03-04,464.74
1994-03-07,466.91
1994-03-08,465.88
1994-03-09,467.06
1994-03-10,463.9
1994-03-11,466.44
1994-03-14,467.39
1994-03-15,467.01
1994-03-16,469.42
1994-03-17,470.9
1994-03-18,471.06
1994-03-21,468.54
1994-03-22,468.8
1994-03-23,468.54
1994-03-24,464.35
1994-03-25,460.58
1994-03-28,460.0
1994-03-29,452.48
1994-03-30,445.55
1994-03-31,445.77
1994-04-01,445.77
1994-04-04,438.92
1994-04-05,448.29
1994-04-06,448.05
1994-04-07,450.88
1994-04-08,447.1
1994-04-11,449.87
1994-04-12,447.57
1994-04-13,446.26
1994-04-14,446.38
1994-04-15,446.18
1994-04-18,442.46
1994-04-19,442.54
1994-04-20,441.96
1994-04-21,448.73
1994-04-22,447.63
1994-04-25,452.71
1994-04-26,451.87
1994-04-27,451.87
1994-04-28,449.1
1994-04-29,450.91
1994-05-02,453.02
1994-05-03,453.03
1994-05-04,451.72
1994-05-05,451.38
1994-05-06,447.82
1994-05-09,442.32
1994-05-10,446.01
1994-05-11,441.49
1994-05-12,443.75
1994-05-13,444.14
1994-05-16,444.49
1994-05-17,449.37
1994-05-18,453.69
1994-05-19,456.48
1994-05-20,454.92
1994-05-23,453.2
